Indonesia,Jawa,Aceh,Abui
adik,adhi; unting,adek,kokda
air,banyu; toya,ie,ya
apa,apa,peue,nala
asin,asin,masen,
ayam,ayam; pitik,manoek,ruwol
bagaimana,kados pundi; kadospundi; piye; pripun; uyup,pakri,wil
bambu,bambet; deling,trieng,bale
banyak,ukèh,le,faring
bawah,isor; ngandhap; ngisor,yub,
bawang,bawang; brambang,bawang,
belakang,buri; wadanan; wadanan,likôt,ui
belerang,wadé,cémpaga,
beras,beras; wadhas,breueh,sieng
berat,abot;awrat,geuhon,tihai
besar,gedhé; kabir; ageng,agung,fok; foka
betis,wagel,beutéh,
bisul,udun; wajir,cumuet,
bodoh,bodho; congok; cubluk; geblek,ngeut,mahapang
bulan,bulan; candra,buleuen,a
cacat,cacat,cacat,
campur,campur,jampu,
celana,clana; sruwal; kathok,siluweueu,deki
cepat,gagé; gelis,sigra,abik
cincin,sesupé,euncien,
dada,dhadha; jaja,dada,kodang
dagu,janggut,keueng,
darah,dhidhih; getih; rah,darah,wea
demam,adhem panas,deumam,
dingin,adhem; asrep,leupie,palaakni; palaata
dunia,donya; jagad,donya,buku
duri,eri,duroe,aloba
durian,duren,drien,
gatal,gatel,gatai,yokung
gila,édan; gendheng; kucluk; owah; owah adat,pungo,lielra
gunung,arga; jabal; ukir; wanci,gunong,abui
hidung,grana; irung,idông,
hutan,wangkal; alas; wana,uteuen,kupai
ibu,ibu; simbok; biyung,ibu,
ikan,iwak; ulam,eungkôt,afu
ingat,ènget; inget; eling,ingat,
ini,iki; menika; punika,nyoe,do
jatuh,dhawah; lugur; tiba; ceblok,reubah,kaai
jauh,adoh; tebih,jeuôh,buoka
kaki,ceker; tokor; sikil,gaki,toku
kambing,wanguné; wedhus; menda,kaméng,kafiei
kecil,alit; cilik,ubit,amek; amet; minaka
keluar,wanti-wanti; metu; medal,teubiet,
kenyang,warah; wareg; tuwuk,troe,fika; fikda; fikdi
kepala,gundhul; endhas; sirah,ulèe,fui
kerbau,maésa; mambet,keubeue,karfai
kumis,rawis,mise,
kuning,kuning; jené,kuneng,meakilai
lalat,laler,lalat,fufai
lama,dangu; lami; suwi,treb,makiila
langit,awang-awang; langit; tawang,langet,adi
laut,watak; samodra,laôt,tama
lidah,ilat; lidhan,lidah,
lupa,kelalèn; lali,tuwo,
maaf,maklum; ngapuro; sepura,meuah,
mahal,awis; larang,meuhai,
makan,dhahar; madhang; maem; mangan; mbadhog; nedha; padhang,pajoh,nee
maksud,angkah,meukeusud,
malam,bengi; dalu; waton,malam,tuntama; tuntamadi
malu,isin; lingsem; watu,malee,
mandi,adus; siram,manoe,
membaca,maca;maos;wawratan,baca,lakdi
mengamuk,amuk; iwung; ngamuk; ngiwung,ngamok,aken
minum,mimik; ngombe; inum; ombe; unjuk,jéb,buuk; buut
pergi,kesah; lungo; minggat; tindak,weh,lak; yaar
perut,padharan; wilang; wilangan,pruet,atei
pukul,gepuk; kaplok; pongor,poh,
ranting,carang,ranteng,
rasa,rasa; raos,rasa,
rebus,godhog,reboih,
retak,rapuh,reutak,kasingra; pok
sakit,gerah; gering; lara; sakit,sakét,
sama,sama; sami; padha,sama,wi
"satu, esa",siji; setunggal,sa,
sedikit,ipit; saipit; thithik,bacut,kabei
selasa,anggara,seulasa,
sudah,wudhar; wudun; uwis; sampun,ka,wan
takut,wuri; wedi; ajrih,yo,mielang
terbang,iberé; miber; mabur,teureubang,li
tetap,pancet,teutap,
tikar,ampar; samak; klasa,tika,adik
tongkat,lantaran; teken,tungkat,tikonrek
uang,arta; dhuwit; yaksa,peng,seng
ulat,uler,ulat,
umur,umur; yamèn,umu,
waktu,yèn; yeng-yengan; yer-yeran,watèe,
yang,ingkang,nyang,ba
